name,description
Calypso,"Dual purpose, pleasently complex, fruity aroma, hints of pear and apple, notes of earthy tea."
Celeia,"Moderate and pleasant zesty bitterness with matching floral aroma, making its use widespread in both ale and lager brewing. Stores very well."
Centennial,Medium with floral and citrus tones.
Challenger,"Mild to moderate, quite spicy."
Chelan,Similar to galena
Chinook,"Mild to medium-heavy, spicy, piney, and grapefruity."
Citra,"Fruity, passionfruit"
Cluster,Medium and quite spicy.
Columbus,"Earthy, spicy, pungent, with a light citrus character."
Comet,"bittering hop, wild american aroma"
Crystal,"Mild and pleasant, spicy and flowery."
Delta,"Slightly spicy, hint of citrus"
East Kent Goldings,"Gentle, fragrant, and pleasant."
El Dorado,"Tropical, pear, candy, watermelon, stone fruit and fresh-cut grass"
Eroica,Strong but pleasant aroma.
Falconer's Flight,"Tropical Fruit, Citrus, floral, lemon and Grapefruit character (the best of the best)"
Falconer's Flight 7Cs,"Strong Fruit, Citrus, Spicy, earthy (the best of the best)"
First Gold,A little like Golding family; spicy.
Fuggle (U.K.),"Mild, pleasant, hoppy, and robust."
Fuggle (U.S.),"Mild and pleasant, earthy and fruity."
Galaxy,"Dual purpose hop, citrus, passionfruit"
Galena,"Medium but pleasant hoppiness, citrusy."
Glacier,Dual purpose hop with a citrus earthy aroma.
Goldings (U.S.),"Mild, extremely pleasant, and gently hoppy."
Green Bullet,Dual purpose hop.
Hallertau (German),Known for its aromatic properties similar to Hallertauer.
Hallertau (U.S),"Very mild, pleasant, and slightly flowery, some spicy."
Hallertau Aroma,A dual purpose hop which has been used to replace Perle
Hallertauer Mittelfruh,Mild and pleasant.
Hallertau Pacific,An aroma hop with some citrus and floral character
Hallertauer Tradition,Known for its aromatic properties. A replacement for Hallertauer Mittelfrüh.
Herald,New dual-purpose hop
Herkules,High-alpha bittering hop with pronounced spicy profile. Use in hoppy German ales or lagers.
Hersbrucker,"Mild to semi-strong, pleasant, hoppy."
Horizon,Pleasantly hoppy.
Legacy,"Dual purpose, floral, blackcurrant and spicy aroma"
Liberty,"Mild and clean aroma, slightly spicy character."
Lublin (Lubelski),"Mild and typical of noble aroma types, spicy, herbal."
Magnum (Germany),Known for bittering value and quality.  Aromatic nature is one of spice and citrus
Magnum (U.S.),Very clean floral aroma
Marynka (New Zealand),New aroma hop
Marynka (Polish),New hop variety with intense aroma
Merkur,"Excellent bittering power with stronger aroma than Magnum - earthy, floral, Hallertau-like. "
Millenium,"Mild, herbal, similar to Nugget."
Mosaic,"Mango, lemon, citrus, earthy pine, tropical fruit, herbal and stone fruit notes"
Motueka,New aroma hop
Mt. Hood,"Mild, pleasant, and clean, somewhat pungent and resiny."
Mt. Ranier,"Licorice, hint of citrus"
Nelson Sauvin,Unique hop with grape-like flavor
Newport,"Mild herbal, citrus aroma"
Northdown,Fruity with some spiciness.
Northern Brewer (German),Medium-strong with some wild tones.
Northern Brewer (U.K.),Medium-strong with some wild tones.
Northern Brewer (U.S.),Medium-strong with some wild tones.
Northwest Golding,Known for aromatic properties.
Nugget,"Quite heavy and herbal, with pear and peach notes"
Olympic,"Mild to medium, citrusy aroma, spicy."
Omega,Bittering
Opal,A new spicy hop variety.
Pacific Gem,Bittering hop with a woody character.
Pacific Jade,"A ""soft"" bittering hop with spicy and citrus aroma qualities."
Pacifica,An aroma hop with some citrus and floral character
Palisade,Clean floral charcter
Perle (German),"Moderately intense, good and hoppy, fruity, minty and a little spicy."
Perle (U.S.),"Known for its aromatic and bittering properties, pleasant and slightly spicy."
Phoenix,Similar to U.K. Challenger.
Pilgram,"Powerful bittering with nice, citric hop aroma."
Pilot,"Mild, herbal, grassy, with lemon hints."
Pioneer,Moderate bitterness and citrus characteristics.
Premiant,A dual purpose variety with a balanced bitterness and slightly spicy aroma
Pride of Ringwood,"Quite pronounced, woody, earthy, herbal."
Progress,"Moderately strong, good aroma."
Riwaka,"Citrusy, grapefruit aroma hop"
Saaz (Czech),"Very mild with pleasant hoppy notes, earthy, spicy, and herbal."
Saaz (U.S),"Mild and pleasant, earthy and spicy."
Santiam,Noble characteristics.
Saphir,Mild aroma hop.
Satus,Known for its bittering and aromatic properties.
Select,noble-type aroma
Serebrianka,Light perfume
Simcoe,pine or wood character with notes of passionfruit or apricot.
Sladek,A dual-purpose Saaz hybrid.
Smaragd,"Aroma variety, pronounced fruity notes"
Sonnet Golding,"New variety, no pedigree or profile available yet"
Sorachi Ace,Bittering hop with lemony aroma
Southern Cross,"Piney, resinous bittering hop"
Sovereign,Noble characteristics.
Spalt,"Mild and pleasant, slightly spicy."
Spalt Select (German),Very fine Spalter-type aroma.
Spalt Select (U.S),Medium intensity and pleasant hoppy qualities. Medium-strong aroma with wild American tones.
Stella,"Aroma is richly piney on a bed of fruity, pleasant floral hoppiness."
Sterling,"Herbal, spicy, pleasant aroma, hint of floral and citrus."
Sticklebract,"A good alpha hop with a high Selinene content typical of many
English hops."
Strisselspalt,"Medium intensity, pleasant, hoppy."
Styrian Aurora,"Fruity, Spicy"
Styrian Bobek,"Earthy, slightly fruity"
Styrian Golding,"Delicate, slightly spicy."
Summit,"Citrus, grapefruit"
Sun,High-alpha hop with intense character
Super Alpha,"Earthy, piney bittering hop."
Super Galena,citrus aroma
Super Pride,A high alpha variety bred from Pride of Ringwood.
Surly Furious Dry Hop Blend,A proprietary blend of hops used in Surly Furious
Target,"Pleasant English hop aroma, quite intense."
Tettnanger (German),"Mild and pleasant, slightly spicy, herbal."
Tettnanger (U.S.),"An aromatic hop, mild and slightly spicy."
Tillicum,Similar to galena
Tomahawk,"Earthy, spicy, pungent, with a light citrus character."
Topaz,"Rich and intense aroma of fleshy citrus and apricot, with a strong ""dank"" overtone and a hint of sulfur."
Tradition,Very fine and similar to Hallertauer Mittelfrüh.
Ultra,"Very good to outstanding, some Saaz-like qualities. Aromatic properties similar to Hallertauer."
Vanguard,Aroma similar to continental European types.
Wakatu,Restrained floral atop freshly zested lime
Warrior,A bittering and aromatic hop.
Whitbread Golding,"Quite pleasant and hoppy, moderately intense."
Willamette,"Mild and pleasant, slightly spicy, fruity, floral, a little earthy."
Yakima Cluster,Used as a kettle hop for bittering.
Yeoman,Similar to target
Zenith,Aroma
Zeus,"Earthy, spicy, pungent, with a light citrus character."
Zythos,"Zythos is strongly aromatic, with tangerine, lemon, grapefruit, and pine notes."
-----Spices-----,
"Cacao Nibs, Ghana","Cacao nibs are crushed pieces of cocoa beans that can be added to a secondary fermentation to provide a distinct and natural chocolate flavor. These pure cacao nibs are intensely flavorful and chocolately. The nibs from Ghana are very roastey and earthy, providing a dark, smooth chocolate flavor. "
"Cacao Nibs, Papua New Guinea",Cacao nibs are crushed pieces of cocoa beans that can be added to a secondary fermentation to provide a distinct and natural chocolate flavor. These pure cacao nibs are intensely flavorful and chocolately. The nibs from Papua New Guinea are bright and acidic with a sharp chocolate taste.
Cardamom Seed,"Cardamom has a pleasant, spicy cola-like flavor; sometimes used in Belgian ales."
"Cinnamon, Pieces",
"Cinnamon, Sticks","A ""warm-tasting"" spice, used in ciders, holiday ales, and pumpkin beers. "
Coriander Seed,"Coriander has a spicy, slightly lemony aroma and flavor. Finely crush the seeds and add at the end of the boil for spiced beer and Belgian ales (particularly Witbier)."
"Elderberries, Dried",Provide color and aroma to wine.
"Elderflowers, Dried",Often added to wine to enhance flavor.
"Ginger, Crystallized","These tender baby ginger roots are harvested when they're the most flavorful, but not harsh. They're then coated in sugar, for preservation. They add a substantial spicy, gingery flavor and aroma. They can be added at the end of a boil, or to secondary. Use 1-2 oz. per 5 gallons. Soak them in enough vodka or similar neutral spirit to cover for 24 hours if adding to secondary. "
"Ginger, Fresh",
Heather Tips,"Used to make historical spiced ales and meads, heather tips have a pleasant bitter flavor and mild aroma to beer."
Juniper Berries,The principal flavoring in gin.
Lavender,"Dried lavender blossoms will add an appealing floral and slightly sweet aroma that's distinctive yet hard to attribute. Use 0.5 - 1 oz per 5 gallons; add to kettle in the last 1 to 10 minutes of the boil. The obvious choice is a light, pale-colored style like American Wheat or Witbier, but lavender can also be used to add a touch of mystery to a dark, malty ale like Belgian Dubbel or brown porter. "
"Lemon Peel, Fresh",
Licorice Root,"Contributes a sweet flavor, not exactly like licorice candy. Improves head retention."
Licorice Stick,"Added during the boil for stouts and other dark, strongly-flavored beers."
"Mugwort, Dried",
Mulling Spices,
"Orange Peel, Bitter",
"Orange Peel, Fresh",
"Orange Peel, Sweet",
Paradise Seed,"Paradise Seeds have a peppery, citrusy, and piney aroma."
Rose Hips,A fruity-tasting herb used in both wine and beer.
Sarsaparilla,
Spearmint,
Spruce Tips,
Star Anise,
"Vanilla Bean, Bourbon",
"Vanilla Bean, Indian",
"Vanilla Bean, Indonesian",
"Vanilla Bean, Madagascar",
"Vanilla Bean, Mexican",
"Vanilla Bean, Papua New Guinea",
"Vanilla Bean, Tonga",
Wintergreen Leaves,
"Woodruff, Dried",
"Wormwood, Dried",
